telemetry_id,asset_id,timestamp,temperature_c,vibration_mm_s,current_amps,voltage_v,operating_hours,runtime_hours,is_abnormal,failure_risk
1,HVAC-AHU-001,2026-08-27T20:17:19,25.5,1.43,24.9,417.3,14201.0,1.0,0,0.47
2,HVAC-AHU-001,2026-08-27T21:17:19,24.0,1.04,25.7,409.9,14202.0,1.0,0,0.47
3,HVAC-AHU-001,2026-08-27T22:17:19,24.2,1.26,24.6,417.4,14203.0,1.0,0,0.47
4,HVAC-AHU-001,2026-08-27T23:17:19,23.8,1.54,5.2,413.8,14203.2,0.2,0,0.47
5,HVAC-AHU-001,2026-08-28T00:17:19,24.1,1.18,0.5,416.1,14203.2,0.0,0,0.47
6,HVAC-AHU-001,2026-08-28T01:17:19,23.5,1.18,5.3,418.0,14203.4,0.2,0,0.47
7,HVAC-AHU-001,2026-08-28T02:17:19,22.4,1.12,0.0,415.3,14203.4,0.0,0,0.47
8,HVAC-AHU-001,2026-08-28T03:17:19,23.5,1.27,0.2,415.7,14203.4,0.0,0,0.47
9,HVAC-AHU-001,2026-08-28T04:17:19,23.4,1.37,0.4,410.4,14203.4,0.0,0,0.47
10,HVAC-AHU-001,2026-08-28T05:17:19,24.3,1.27,0.1,413.2,14203.4,0.0,0,0.47
11,HVAC-AHU-001,2026-08-28T06:17:19,23.3,1.16,24.5,414.3,14204.4,1.0,0,0.47
12,HVAC-AHU-001,2026-08-28T07:17:19,23.9,1.09,24.5,415.7,14205.4,1.0,0,0.47
13,HVAC-AHU-001,2026-08-28T08:17:19,23.9,1.24,25.9,413.3,14206.4,1.0,0,0.47
14,HVAC-AHU-001,2026-08-28T09:17:19,25.5,0.96,25.3,415.3,14207.4,1.0,0,0.47
15,HVAC-AHU-001,2026-08-28T10:17:19,23.4,1.01,25.4,409.8,14208.4,1.0,0,0.47
16,HVAC-AHU-001,2026-08-28T11:17:19,24.3,1.0,25.0,418.3,14209.4,1.0,0,0.47
17,HVAC-AHU-001,2026-08-28T12:17:19,24.4,1.2,24.9,420.8,14210.4,1.0,0,0.47
18,HVAC-AHU-001,2026-08-28T13:17:19,24.5,0.9,24.2,413.3,14211.4,1.0,0,0.47
19,HVAC-AHU-001,2026-08-28T14:17:19,24.9,0.96,25.2,411.7,14212.4,1.0,0,0.47
20,HVAC-AHU-001,2026-08-28T15:17:19,23.8,0.91,24.5,417.5,14213.4,1.0,0,0.47
