energy_id,facility_id,timestamp,electricity_usage,water_usage,hvac_usage,lighting_usage,equipment_usage,other_usage,outdoor_temp_c,occupancy_pct,is_anomaly,anomaly_score
1,1,2026-08-04T00:00:00,43.39,7.64,20.31,14.0,7.4,4.29,28.1,22.7,0,0.0
2,1,2026-08-04T01:00:00,44.46,8.27,21.76,12.51,7.53,4.08,29.1,26.6,0,0.0
3,1,2026-08-04T02:00:00,43.63,10.5,20.11,11.54,8.9,3.93,29.0,21.9,0,0.0
4,1,2026-08-04T03:00:00,47.9,8.56,23.1,10.9,6.32,3.71,30.9,24.4,0,0.0
5,1,2026-08-04T04:00:00,39.71,9.15,19.66,11.68,8.44,3.97,30.9,22.0,0,0.0
6,1,2026-08-04T05:00:00,45.61,9.36,21.21,11.69,7.7,3.92,31.2,31.7,0,0.0
7,1,2026-08-04T06:00:00,40.13,10.49,22.27,11.81,6.6,3.74,31.3,15.1,0,0.0
8,1,2026-08-04T07:00:00,132.27,33.32,80.6,44.28,27.29,14.65,32.0,81.6,0,0.0
9,1,2026-08-04T08:00:00,156.96,34.29,78.36,51.53,28.18,15.03,33.7,81.4,0,0.0
10,1,2026-08-04T09:00:00,194.6,35.95,92.54,51.25,35.06,16.33,33.6,80.8,0,0.0
11,1,2026-08-04T10:00:00,223.94,50.47,116.94,59.7,30.55,15.02,34.9,92.6,0,0.0
12,1,2026-08-04T11:00:00,207.05,47.62,112.53,53.58,37.54,20.24,34.2,98.4,0,0.0
13,1,2026-08-04T12:00:00,220.89,49.56,108.61,64.43,40.91,19.88,32.1,91.9,0,0.0
14,1,2026-08-04T13:00:00,191.44,38.61,113.74,53.05,38.67,20.35,33.0,95.0,0,0.0
15,1,2026-08-04T14:00:00,213.7,45.25,124.83,55.38,43.83,19.61,35.1,94.3,0,0.0
16,1,2026-08-04T15:00:00,209.56,43.42,110.69,56.44,34.21,18.71,32.3,100.0,0,0.0
17,1,2026-08-04T16:00:00,214.36,53.09,106.12,55.77,34.25,18.04,31.4,90.7,0,0.0
18,1,2026-08-04T17:00:00,208.06,45.14,98.37,64.24,38.27,20.94,30.7,98.0,0,0.0
19,1,2026-08-04T18:00:00,167.63,27.83,74.82,41.32,25.3,14.64,30.6,73.6,0,0.0
20,1,2026-08-04T19:00:00,137.41,30.67,67.63,38.34,27.81,11.97,28.8,67.6,0,0.0
21,1,2026-08-04T20:00:00,126.03,33.19,71.08,42.2,23.8,13.01,28.9,68.2,0,0.0
22,1,2026-08-04T21:00:00,45.17,9.5,19.8,14.65,6.81,3.9,27.7,19.5,0,0.0
23,1,2026-08-04T22:00:00,43.97,9.72,24.18,11.54,8.37,4.07,29.8,24.9,0,0.0
24,1,2026-08-04T23:00:00,45.24,9.21,20.24,14.13,7.36,5.01,28.9,15.7,0,0.0
25,1,2026-08-05T00:00:00,42.08,8.57,18.59,14.9,7.3,4.0,27.0,18.3,0,0.0
26,1,2026-08-05T01:00:00,41.9,9.22,22.01,14.51,8.36,3.6,27.7,15.8,0,0.0
27,1,2026-08-05T02:00:00,45.77,8.49,20.64,13.73,7.51,3.66,29.0,16.9,0,0.0
28,1,2026-08-05T03:00:00,43.05,8.46,21.59,13.39,7.74,3.78,30.1,27.6,0,0.0
29,1,2026-08-05T04:00:00,45.72,9.55,22.95,12.39,8.12,4.6,31.1,15.8,0,0.0
30,1,2026-08-05T05:00:00,41.67,7.63,24.07,11.06,6.56,3.98,31.6,19.5,0,0.0
31,1,2026-08-05T06:00:00,41.29,9.23,23.97,12.2,8.23,3.76,32.1,18.7,0,0.0
32,1,2026-08-05T07:00:00,142.01,31.89,75.98,41.37,23.15,14.28,31.6,68.2,0,0.0
33,1,2026-08-05T08:00:00,332.45,38.18,89.24,41.25,29.7,13.8,32.6,73.3,1,0.0
34,1,2026-08-05T09:00:00,168.7,35.01,108.28,50.45,29.43,17.18,34.8,81.2,0,0.0
35,1,2026-08-05T10:00:00,231.54,113.91,114.37,64.46,36.58,16.12,35.9,91.3,1,0.0
36,1,2026-08-05T11:00:00,203.47,43.88,120.71,56.1,36.37,21.36,34.6,91.0,0,0.0
37,1,2026-08-05T12:00:00,222.11,39.55,112.92,61.67,37.1,20.66,33.0,96.4,0,0.0
38,1,2026-08-05T13:00:00,244.57,47.7,125.53,50.28,38.76,18.01,34.2,97.4,0,0.0
39,1,2026-08-05T14:00:00,221.17,40.2,104.23,58.48,39.51,22.07,34.5,96.8,0,0.0
40,1,2026-08-05T15:00:00,230.99,47.71,122.6,60.41,34.98,14.97,32.5,100.0,0,0.0
41,1,2026-08-05T16:00:00,232.81,41.98,122.56,60.29,32.53,17.61,33.1,84.1,0,0.0
42,1,2026-08-05T17:00:00,197.96,39.22,123.34,55.55,34.79,21.31,31.0,100.0,0,0.0
43,1,2026-08-05T18:00:00,142.24,32.48,64.96,36.42,27.1,11.75,29.1,70.7,0,0.0
44,1,2026-08-05T19:00:00,156.19,33.23,72.14,37.93,26.9,12.28,30.1,62.3,0,0.0
45,1,2026-08-05T20:00:00,149.14,25.83,67.89,32.43,25.73,12.68,27.8,72.2,0,0.0
46,1,2026-08-05T21:00:00,42.94,8.62,20.09,13.25,8.13,4.88,28.2,24.1,0,0.0
47,1,2026-08-05T22:00:00,40.12,8.31,21.37,11.55,7.88,3.85,27.1,21.7,0,0.0
48,1,2026-08-05T23:00:00,37.13,10.28,21.87,11.26,8.22,3.88,27.4,14.7,0,0.0
49,1,2026-08-06T00:00:00,41.23,8.82,20.98,13.22,7.2,3.78,26.5,27.7,0,0.0
50,1,2026-08-06T01:00:00,46.28,9.14,16.71,13.36,7.64,4.23,27.1,15.8,0,0.0
51,1,2026-08-06T02:00:00,37.26,9.77,20.84,11.28,8.05,3.95,28.9,16.4,0,0.0
52,1,2026-08-06T03:00:00,50.39,9.41,21.29,13.19,8.25,3.75,28.7,22.3,0,0.0
53,1,2026-08-06T04:00:00,44.27,8.95,19.13,13.49,8.12,4.31,30.0,15.5,0,0.0
54,1,2026-08-06T05:00:00,45.21,8.23,17.99,13.73,8.41,3.94,29.1,11.1,0,0.0
55,1,2026-08-06T06:00:00,41.56,7.88,21.59,12.49,7.44,3.9,32.6,10.5,0,0.0
56,1,2026-08-06T07:00:00,137.23,30.6,95.12,40.83,27.51,11.97,34.5,74.4,0,0.0
57,1,2026-08-06T08:00:00,174.32,32.25,84.0,47.45,31.41,16.2,33.4,73.4,0,0.0
58,1,2026-08-06T09:00:00,162.33,37.07,116.91,52.74,32.16,16.35,34.1,79.6,0,0.0
59,1,2026-08-06T10:00:00,211.44,43.03,113.44,56.5,36.52,20.61,34.5,93.2,0,0.0
60,1,2026-08-06T11:00:00,225.03,40.74,131.09,57.21,38.32,18.25,34.0,100.0,0,0.0
61,1,2026-08-06T12:00:00,199.54,47.09,103.8,66.82,39.3,19.55,34.9,91.7,0,0.0
62,1,2026-08-06T13:00:00,195.61,42.35,119.94,51.0,37.19,16.81,33.4,93.5,0,0.0
63,1,2026-08-06T14:00:00,528.05,44.07,107.82,61.53,35.36,20.31,34.2,91.5,1,0.5937
64,1,2026-08-06T15:00:00,165.84,43.13,114.15,53.43,34.77,18.86,32.3,91.1,0,0.0
65,1,2026-08-06T16:00:00,183.71,43.78,116.65,56.51,33.93,18.73,32.7,95.8,0,0.0
66,1,2026-08-06T17:00:00,200.47,39.12,108.76,54.79,41.45,18.96,31.3,95.7,0,0.0
67,1,2026-08-06T18:00:00,141.45,26.11,61.49,40.69,24.91,11.16,30.6,65.5,0,0.0
68,1,2026-08-06T19:00:00,147.47,29.73,66.96,44.29,23.48,11.46,30.0,68.7,0,0.0
69,1,2026-08-06T20:00:00,158.58,30.35,65.1,41.93,26.37,11.28,28.3,63.1,0,0.0
70,1,2026-08-06T21:00:00,46.26,8.91,19.64,9.72,7.48,4.17,28.7,21.9,0,0.0
71,1,2026-08-06T22:00:00,61.34,8.85,36.36,12.23,8.8,3.95,28.2,17.5,1,0.0
72,1,2026-08-06T23:00:00,44.22,10.43,18.07,14.57,7.98,4.09,28.7,21.2,0,0.0
73,1,2026-08-07T00:00:00,44.24,8.9,21.47,13.88,8.26,4.0,27.0,26.4,0,0.0
74,1,2026-08-07T01:00:00,46.38,8.67,20.05,11.44,8.45,3.71,27.5,17.2,0,0.0
75,1,2026-08-07T02:00:00,43.48,8.6,22.51,13.38,7.65,4.21,28.6,21.8,0,0.0
76,1,2026-08-07T03:00:00,43.34,9.12,19.9,11.36,8.52,3.87,29.0,29.7,0,0.0
77,1,2026-08-07T04:00:00,45.11,8.55,22.54,11.12,8.14,4.17,30.7,22.4,0,0.0
78,1,2026-08-07T05:00:00,46.23,8.25,25.46,13.04,7.01,4.3,31.4,17.4,0,0.0
79,1,2026-08-07T06:00:00,44.59,9.37,21.95,13.62,7.2,4.4,31.1,14.8,0,0.0
80,1,2026-08-07T07:00:00,152.29,31.23,75.31,37.27,27.61,14.19,32.3,60.8,0,0.0
81,1,2026-08-07T08:00:00,154.67,42.8,78.47,46.02,28.56,12.97,31.9,78.6,0,0.0
82,1,2026-08-07T09:00:00,172.93,38.51,98.17,51.28,33.4,14.11,34.5,80.2,0,0.0
83,1,2026-08-07T10:00:00,613.66,46.67,117.93,60.79,41.9,20.88,32.8,88.0,1,0.6092
84,1,2026-08-07T11:00:00,204.43,38.65,103.74,64.95,34.38,19.55,33.2,100.0,0,0.0
85,1,2026-08-07T12:00:00,201.12,41.15,137.8,67.66,36.26,20.05,34.7,100.0,0,0.0
